Año,Fecha,Estado,Organizacion,Unidad,Sector,Nombre_Interaccion,ID_Proyecto,Categoria,Tipo,Impacto Directo,Impacto Indirecto,Asistentes,Tipo de participación,Justificación de asistencia de EC,Resultado del evento,
2025,16/06/2025,GDL,ITESO ,AREA CENTRAL,Institución Académica,Reunión ITESO y Academy Agents,NA,Relacionamiento,Reunión,,,Jarumi R. /ContiAgents Roberto C y Rodrigo C.,,,,
2025,17/06/2025,QRO,MODULAR MX,NA,Sector Privado,Visita Modular | Vector a continental,NA,Relacionamiento,Visita,,,BAs / Maryel D. / Ali M.,asistente,,,
2025,18/06/2025,QRO,MODULAR MX,NA,Cluster,Panel Vector day DAVID,NA,Relacionamiento,Panel,25,,David P.,asistente,,,
2025,18/06/2025,QRO,MODULAR MX,NA,Cluster,Panel Vector day Edú,NA,Relacionamiento,Panel,20,,Edú L. ,,,,
2025,20/06/2025,HDL,IPN ,REINVA,Institución Académica,Reunión REINVA LIVING LAB,P_07,Estratégica,Reunión,,,Luis B. / Maryel D. / Othon G. /  Ali M.,,,,
2025,23/06/2025,GDL,ITESM GDL,ESCUELA DE INGENIERIA,Institución Académica,Desayuno ITESMGDL- programa de ingeniería robótica,NA,Relacionamiento,Evento,,,ContiAgent Roxana P.,asistente,,,
2025,19/06/2025,GDL,UAG,DIRECCION INNOVACION,Institución Académica,Reunión Vinculación UAG - Dirección de Innovación,P_14,Estratégica,Reunión,,,,,,,
2025,25/06/2025,GDL,UAG,FACULTAD DE INGENIERIA,Institución Académica,Reunión Seguimiento UAG - Facultad Ingeniería,P_19,Estratégica,Reunión,,,Maryel D. / ContiAgents Edgar P- y Jose P / Ali M.,panelista,,,
2025,02/07/2025,GDL,UAG,DIRECCION INNOVACION,Institución Académica,Reunión Innovación /Investigación aplicada UAG,P_14,Estratégica,Reunión,,,Maryel D. / luis B. / Jarumi R. /ContiAgents Edgar P- y Jose P / Ali M.,,,,
2025,31/07/2025,QRO,UAQ,AREA CENTRAL,Institución Académica,Reunión Colaboración y Formación Dual UAQ,P_05,Estratégica,Reunión,,,Maryel D. / ContiAgent Miguel C. / Ali M.,,,,
2025,16/07/2025,QRO,CLUSTER AUTOMOTRIZ,NA,Cluster,Querétaro Automotive Summit ,NA,Relacionamiento,Panel,,,David P. y Maryel D.,panelista,,,
2025,16/07/2025,QRO,UPQ,AREA CENTRAL,Institución Académica,Conferencia en UPQ,PQ_20,Transferencia de conocimiento,Conferencia,40,,ContiAgent Sergio M. y Ali M.,,,,
2025,17/07/2025,QRO,DISTRITO QRO,"COMISION DE INNOVACIÓN, INVESTIGACIÓN Y EMPRENDIMIENTO",Cluster,Visita a Continental| Reunión Distrito Qro Equipo Core,PQ_8,Estratégica,Reunión,,,David P. /Maryel D./ Ali M.,asistente,,,
2025,17/07/2025,QRO,CONDUMEX,NA,Sector Privado,Reunión CIDEC ,NA,Estratégica,Reunión,,,Maryel D y Ali M.,,,,
2025,01/07/2025,GDL,ITESM GDL,?,Institución Académica,Hub de movilidad - Aliado estratégico ITESM,PG_23,Estratégica,Reunión,,,Luis B. / Andrea M. / Jarumi R.,asistente,,,
2025,01/07/2025,GDL,UDG,?,Institución Académica,Hub de movilidad - Aliado estratégico UDG,PG_23,Estratégica,Reunión,,,Luis B. / Andrea M. / Jarumi R.,,,,
2025,16/07/2025,GDL,SEDECO GDL,NA,Gobierno,Visita SEDECO a Continenta,NA,Estratégica,Visita,,,Elisa T. / Luis B. / Jarumi R.,,,,
2025,16/07/2025,GDL,SEDECO GDL,NA,Gobierno,Reunión SEDECO-Continental,NA,Estratégica,Reunión,,,Elisa T. / Luis B. / Jarumi R.,,,,
